file,run,status,manifest_status,shape,dtype,a_sparsity,b_sparsity,avg_sparsity,block_m,block_n,queue_depth,kernel_body_cycles,xbar_stall_percent,xbar_stall_cycles,tcu_cycles,mul_active_cycles,tcu_utilization
run_sd_1.stat,1,PASS,0,64x64x512,fp8,0.0976562,0.125122,0.1113891,2,16,4,70420,0.0,0,66572,65536,93.06
run_sd_5.stat,5,PASS,0,64x64x512,fp8,0.0976562,0.125122,0.1113891,4,8,4,71559,0.0,0,67084,65536,91.58
run_sd_2.stat,2,PASS,0,64x64x512,fp8,20.4224,20.2606,20.3415,2,16,4,63100,6.4,3632,57833,53097,84.15
run_sd_6.stat,6,PASS,0,64x64x512,fp8,20.4224,20.2606,20.3415,4,8,4,85768,34.59,26850,79245,50777,59.2
run_sd_3.stat,3,PASS,0,64x64x512,fp8,50.1648,49.7955,49.980149999999995,2,16,4,36697,20.97,6421,31791,24204,65.96
run_sd_7.stat,7,PASS,0,64x64x512,fp8,50.1648,49.7955,49.980149999999995,4,8,4,42790,36.12,12345,35848,21833,51.02
run_sd_4.stat,4,PASS,0,64x64x512,fp8,90.1306,90.1123,90.12145000000001,2,16,4,15370,2.97,115,4957,3754,24.42
run_sd_8.stat,8,PASS,0,64x64x512,fp8,90.1306,90.1123,90.12145000000001,4,8,4,18344,7.33,195,4268,2464,13.43
