dataset,file,run,status,sparsity_mode,shape,dtype,a_sparsity,b_sparsity,a_label,b_label,total_cycles,body_cycles,tcu_utilization
run_s,run_s_1.stat,1,PASS,0,64x64x512,fp8,0.0976562,0.125122,0,0,87072,70420,93.06
run_s,run_s_56.stat,56,PASS,1,64x64x512,fp8,0.0976562,20.2606,0,20,91373,70839,92.46
run_s,run_s_2.stat,2,PASS,2,64x64x512,fp8,20.4224,20.2606,20,20,83367,63100,84.15
run_s,run_s_8.stat,8,PASS,2,64x64x512,fp8,30.4535,20.2606,30,20,77306,57041,81.59
run_s,run_s_14.stat,14,PASS,2,64x64x512,fp8,40.2161,20.2606,40,20,70835,50570,79.43
run_s,run_s_20.stat,20,PASS,2,64x64x512,fp8,50.1648,20.2606,50,20,63899,43634,77.11
run_s,run_s_26.stat,26,PASS,2,64x64x512,fp8,59.9976,20.2606,60,20,57303,37036,73.59
run_s,run_s_32.stat,32,PASS,2,64x64x512,fp8,70.0745,20.2606,70,20,50604,30337,68.02
run_s,run_s_38.stat,38,PASS,2,64x64x512,fp8,80.0323,20.2606,80,20,46266,25999,54.26
run_s,run_s_44.stat,44,PASS,2,64x64x512,fp8,90.1306,20.2606,90,20,44472,24205,31.23
run_s,run_s_50.stat,50,PASS,2,64x64x512,fp8,99.0051,20.2606,99,20,43110,22843,11.45
run_s,run_s_57.stat,57,PASS,1,64x64x512,fp8,0.0976562,39.8254,0,40,89927,69395,87.1
run_s,run_s_3.stat,3,PASS,2,64x64x512,fp8,20.4224,39.8254,20,40,80232,59965,81.74
run_s,run_s_9.stat,9,PASS,2,64x64x512,fp8,30.4535,39.8254,30,40,73859,53594,80.16
run_s,run_s_15.stat,15,PASS,2,64x64x512,fp8,40.2161,39.8254,40,40,67520,47255,78.47
run_s,run_s_21.stat,21,PASS,2,64x64x512,fp8,50.1648,39.8254,50,40,60702,40435,76.78
run_s,run_s_27.stat,27,PASS,2,64x64x512,fp8,59.9976,39.8254,60,40,54546,34279,73.37
run_s,run_s_33.stat,33,PASS,2,64x64x512,fp8,70.0745,39.8254,70,40,48255,27988,67.99
run_s,run_s_39.stat,39,PASS,2,64x64x512,fp8,80.0323,39.8254,80,40,43874,23609,55.12
run_s,run_s_45.stat,45,PASS,2,64x64x512,fp8,90.1306,39.8254,90,40,42098,21833,31.92
run_s,run_s_51.stat,51,PASS,2,64x64x512,fp8,99.0051,39.8254,99,40,40737,20470,12.35
run_s,run_s_58.stat,58,PASS,1,64x64x512,fp8,0.0976562,59.6832,0,60,81515,60983,58.45
run_s,run_s_4.stat,4,PASS,2,64x64x512,fp8,20.4224,59.6832,20,60,71670,51403,56.23
run_s,run_s_10.stat,10,PASS,2,64x64x512,fp8,30.4535,59.6832,30,60,65561,45296,55.95
run_s,run_s_16.stat,16,PASS,2,64x64x512,fp8,40.2161,59.6832,40,60,59682,39415,55.53
run_s,run_s_22.stat,22,PASS,2,64x64x512,fp8,50.1648,59.6832,50,60,53855,33590,54.58
run_s,run_s_28.stat,28,PASS,2,64x64x512,fp8,59.9976,59.6832,60,60,48555,28288,52.48
run_s,run_s_34.stat,34,PASS,2,64x64x512,fp8,70.0745,59.6832,70,60,43467,23200,48.53
run_s,run_s_40.stat,40,PASS,2,64x64x512,fp8,80.0323,59.6832,80,60,41309,21044,36.61
run_s,run_s_46.stat,46,PASS,2,64x64x512,fp8,90.1306,59.6832,90,60,39551,19286,21.5
run_s,run_s_52.stat,52,PASS,2,64x64x512,fp8,99.0051,59.6832,99,60,38364,18097,11.67
run_s,run_s_59.stat,59,PASS,1,64x64x512,fp8,0.0976562,79.9988,0,80,70058,49524,66.16
run_s,run_s_5.stat,5,PASS,2,64x64x512,fp8,20.4224,79.9988,20,80,63231,42964,61.82
run_s,run_s_11.stat,11,PASS,2,64x64x512,fp8,30.4535,79.9988,30,80,58325,38060,61.17
run_s,run_s_17.stat,17,PASS,2,64x64x512,fp8,40.2161,79.9988,40,80,53628,33361,60.24
run_s,run_s_23.stat,23,PASS,2,64x64x512,fp8,50.1648,79.9988,50,80,49044,28777,58.49
run_s,run_s_29.stat,29,PASS,2,64x64x512,fp8,59.9976,79.9988,60,80,44628,24361,55.97
run_s,run_s_35.stat,35,PASS,2,64x64x512,fp8,70.0745,79.9988,70,80,40568,20303,50.84
run_s,run_s_41.stat,41,PASS,2,64x64x512,fp8,80.0323,79.9988,80,80,38451,18184,38.83
run_s,run_s_47.stat,47,PASS,2,64x64x512,fp8,90.1306,79.9988,90,80,36815,16550,23.09
run_s,run_s_53.stat,53,PASS,2,64x64x512,fp8,99.0051,79.9988,99,80,35661,15394,13.34
run_s,run_s_60.stat,60,PASS,1,64x64x512,fp8,0.0976562,90.1123,0,90,60371,39839,79.54
run_s,run_s_6.stat,6,PASS,2,64x64x512,fp8,20.4224,90.1123,20,90,55353,35086,73.25
run_s,run_s_12.stat,12,PASS,2,64x64x512,fp8,30.4535,90.1123,30,90,52010,31745,70.95
run_s,run_s_18.stat,18,PASS,2,64x64x512,fp8,40.2161,90.1123,40,90,48590,28325,68.7
run_s,run_s_24.stat,24,PASS,2,64x64x512,fp8,50.1648,90.1123,50,90,45168,24901,65.49
run_s,run_s_30.stat,30,PASS,2,64x64x512,fp8,59.9976,90.1123,60,90,41934,21667,61.02
run_s,run_s_36.stat,36,PASS,2,64x64x512,fp8,70.0745,90.1123,70,90,38859,18592,53.87
run_s,run_s_42.stat,42,PASS,2,64x64x512,fp8,80.0323,90.1123,80,90,37152,16885,40.69
run_s,run_s_48.stat,48,PASS,2,64x64x512,fp8,90.1306,90.1123,90,90,35637,15370,24.42
run_s,run_s_54.stat,54,PASS,2,64x64x512,fp8,99.0051,90.1123,99,90,34509,14242,14.42
run_s,run_s_61.stat,61,PASS,1,64x64x512,fp8,0.0976562,99.0112,0,99,41642,21110,48.5
run_s,run_s_7.stat,7,PASS,2,64x64x512,fp8,20.4224,99.0112,20,99,43583,23318,36.86
run_s,run_s_13.stat,13,PASS,2,64x64x512,fp8,30.4535,99.0112,30,99,42393,22126,34.99
run_s,run_s_19.stat,19,PASS,2,64x64x512,fp8,40.2161,99.0112,40,99,41174,20909,32.96
run_s,run_s_25.stat,25,PASS,2,64x64x512,fp8,50.1648,99.0112,50,99,39959,19694,30.43
run_s,run_s_31.stat,31,PASS,2,64x64x512,fp8,59.9976,99.0112,60,99,38754,18487,27.77
run_s,run_s_37.stat,37,PASS,2,64x64x512,fp8,70.0745,99.0112,70,99,37158,16891,25.1
run_s,run_s_43.stat,43,PASS,2,64x64x512,fp8,80.0323,99.0112,80,99,35847,15580,21.69
run_s,run_s_49.stat,49,PASS,2,64x64x512,fp8,90.1306,99.0112,90,99,34380,14113,17.79
run_s,run_s_55.stat,55,PASS,2,64x64x512,fp8,99.0051,99.0112,99,99,33354,13087,15.66
run_a,run_a_2.stat,2,PASS,1,64x64x512,fp8,20.4224,20.2606,20,20,82619,62085,85.52
run_a,run_a_8.stat,8,PASS,1,64x64x512,fp8,30.4535,20.2606,30,20,76634,56100,82.95
run_a,run_a_14.stat,14,PASS,1,64x64x512,fp8,40.2161,20.2606,40,20,70235,49701,80.82
run_a,run_a_20.stat,20,PASS,1,64x64x512,fp8,50.1648,20.2606,50,20,63371,42837,78.54
run_a,run_a_26.stat,26,PASS,1,64x64x512,fp8,59.9976,20.2606,60,20,56660,36128,75.44
run_a,run_a_32.stat,32,PASS,1,64x64x512,fp8,70.0745,20.2606,70,20,52148,31616,65.27
run_a,run_a_38.stat,38,PASS,1,64x64x512,fp8,80.0323,20.2606,80,20,51653,31120,45.33
run_a,run_a_44.stat,44,PASS,1,64x64x512,fp8,90.1306,20.2606,90,20,51188,30655,24.66
run_a,run_a_50.stat,50,PASS,1,64x64x512,fp8,99.0051,20.2606,99,20,50945,30411,8.6
run_a,run_a_3.stat,3,PASS,1,64x64x512,fp8,20.4224,39.8254,20,40,79487,58953,83.14
run_a,run_a_9.stat,9,PASS,1,64x64x512,fp8,30.4535,39.8254,30,40,73187,52655,81.59
run_a,run_a_15.stat,15,PASS,1,64x64x512,fp8,40.2161,39.8254,40,40,66923,46389,79.93
run_a,run_a_21.stat,21,PASS,1,64x64x512,fp8,50.1648,39.8254,50,40,60173,39639,78.32
run_a,run_a_27.stat,27,PASS,1,64x64x512,fp8,59.9976,39.8254,60,40,53900,33368,75.38
run_a,run_a_33.stat,33,PASS,1,64x64x512,fp8,70.0745,39.8254,70,40,49724,29191,65.18
run_a,run_a_39.stat,39,PASS,1,64x64x512,fp8,80.0323,39.8254,80,40,49184,28651,45.42
run_a,run_a_45.stat,45,PASS,1,64x64x512,fp8,90.1306,39.8254,90,40,48845,28311,24.62
run_a,run_a_51.stat,51,PASS,1,64x64x512,fp8,99.0051,39.8254,99,40,48626,28092,9.0
run_a,run_a_4.stat,4,PASS,1,64x64x512,fp8,20.4224,59.6832,20,60,70922,50389,57.36
run_a,run_a_10.stat,10,PASS,1,64x64x512,fp8,30.4535,59.6832,30,60,64889,44355,57.14
run_a,run_a_16.stat,16,PASS,1,64x64x512,fp8,40.2161,59.6832,40,60,59078,38544,56.78
run_a,run_a_22.stat,22,PASS,1,64x64x512,fp8,50.1648,59.6832,50,60,53027,32493,56.43
run_a,run_a_28.stat,28,PASS,1,64x64x512,fp8,59.9976,59.6832,60,60,48005,27471,54.04
run_a,run_a_34.stat,34,PASS,1,64x64x512,fp8,70.0745,59.6832,70,60,47066,26532,42.44
run_a,run_a_40.stat,40,PASS,1,64x64x512,fp8,80.0323,59.6832,80,60,46733,26199,29.41
run_a,run_a_46.stat,46,PASS,1,64x64x512,fp8,90.1306,59.6832,90,60,46412,25880,16.02
run_a,run_a_52.stat,52,PASS,1,64x64x512,fp8,99.0051,59.6832,99,60,46301,25768,8.2
run_a,run_a_5.stat,5,PASS,1,64x64x512,fp8,20.4224,79.9988,20,80,62486,41954,63.31
run_a,run_a_11.stat,11,PASS,1,64x64x512,fp8,30.4535,79.9988,30,80,57653,37120,62.72
run_a,run_a_17.stat,17,PASS,1,64x64x512,fp8,40.2161,79.9988,40,80,52865,32332,62.16
run_a,run_a_23.stat,23,PASS,1,64x64x512,fp8,50.1648,79.9988,50,80,48185,27653,60.87
run_a,run_a_29.stat,29,PASS,1,64x64x512,fp8,59.9976,79.9988,60,80,44597,24065,56.65
run_a,run_a_35.stat,35,PASS,1,64x64x512,fp8,70.0745,79.9988,70,80,44090,23558,43.82
run_a,run_a_41.stat,41,PASS,1,64x64x512,fp8,80.0323,79.9988,80,80,43922,23388,30.19
run_a,run_a_47.stat,47,PASS,1,64x64x512,fp8,90.1306,79.9988,90,80,43688,23156,16.51
run_a,run_a_53.stat,53,PASS,1,64x64x512,fp8,99.0051,79.9988,99,80,43613,23079,8.9
run_a,run_a_6.stat,6,PASS,1,64x64x512,fp8,20.4224,90.1123,20,90,54527,33994,75.6
run_a,run_a_12.stat,12,PASS,1,64x64x512,fp8,30.4535,90.1123,30,90,50936,30403,74.08
run_a,run_a_18.stat,18,PASS,1,64x64x512,fp8,40.2161,90.1123,40,90,47519,26985,72.11
run_a,run_a_24.stat,24,PASS,1,64x64x512,fp8,50.1648,90.1123,50,90,44306,23773,68.6
run_a,run_a_30.stat,30,PASS,1,64x64x512,fp8,59.9976,90.1123,60,90,43070,22538,58.67
run_a,run_a_36.stat,36,PASS,1,64x64x512,fp8,70.0745,90.1123,70,90,42953,22421,44.67
run_a,run_a_42.stat,42,PASS,1,64x64x512,fp8,80.0323,90.1123,80,90,42710,22178,30.98
run_a,run_a_48.stat,48,PASS,1,64x64x512,fp8,90.1306,90.1123,90,90,42524,21992,17.07
run_a,run_a_54.stat,54,PASS,1,64x64x512,fp8,99.0051,90.1123,99,90,42458,21926,9.37
run_a,run_a_7.stat,7,PASS,1,64x64x512,fp8,20.4224,99.0112,20,99,41630,21098,40.74
run_a,run_a_13.stat,13,PASS,1,64x64x512,fp8,30.4535,99.0112,30,99,41585,21053,36.77
run_a,run_a_19.stat,19,PASS,1,64x64x512,fp8,40.2161,99.0112,40,99,41534,21002,32.81
