figure,driver,app,variant,warps,threads,tile_rows,tile_cols,matrix_rows,matrix_cols,num_ctas,writeback,pipeline_depth,status,returncode,instrs,cycles,ipc,dxa_transfers,dxa_gmem_reads,dxa_gmem_dedup,dxa_gmem_dedup_rate,dxa_lmem_writes,dxa_avg_gmem_lat,summary_status,attempts,configs,env_overrides,command,output_tail
3c,simx,dxa_copy_mcast,percta,8,8,16,16,512,512,4,sample,1,PASS,0,157792,587559,0.269,4096,65536,0,0,65536,61.6,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 16 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 16 x 16\nstart\nPERF: core0: dxa: transfers=4096, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=61.6\nPERF: dxa: transfers=4096, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=61.6\nPERF: instrs=157792, cycles=587559, IPC=0.269\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=16 tile_grid_rows=32 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,16,32,512,512,4,sample,1,PASS,0,79968,359228,0.223,2048,65536,0,0,65536,113.1,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 32 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 16 x 32\nstart\nPERF: core0: dxa: transfers=2048, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=113.1\nPERF: dxa: transfers=2048, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=113.1\nPERF: instrs=79968, cycles=359228, IPC=0.223\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=32 tile_grid_rows=32 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,16,64,512,512,4,sample,1,PASS,0,41056,242638,0.169,1024,65536,0,0,65536,219.4,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 64 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 16 x 64\nstart\nPERF: core0: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=219.4\nPERF: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=219.4\nPERF: instrs=41056, cycles=242638, IPC=0.169\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=64 tile_grid_rows=32 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,16,128,512,512,4,sample,1,PASS,0,21600,237330,0.091,512,65536,0,0,65536,448.0,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 128 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 16 x 128\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=448.0\nPERF: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=448.0\nPERF: instrs=21600, cycles=237330, IPC=0.091\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=128 tile_grid_rows=32 tile_grid_cols=4 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,32,16,512,512,4,sample,1,PASS,0,79072,356168,0.222,2048,65536,0,0,65536,113.6,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 16 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 32 x 16\nstart\nPERF: core0: dxa: transfers=2048, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=113.6\nPERF: dxa: transfers=2048, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=113.6\nPERF: instrs=79072, cycles=356168, IPC=0.222\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=16 tile_grid_rows=16 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,32,32,512,512,4,sample,1,PASS,0,40160,241014,0.167,1024,65536,0,0,65536,220.8,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 32 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 32 x 32\nstart\nPERF: core0: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=220.8\nPERF: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=220.8\nPERF: instrs=40160, cycles=241014, IPC=0.167\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=32 tile_grid_rows=16 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,32,64,512,512,4,sample,1,PASS,0,20704,222471,0.093,512,65536,0,0,65536,419.0,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 64 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 32 x 64\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=419.0\nPERF: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=419.0\nPERF: instrs=20704, cycles=222471, IPC=0.093\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=64 tile_grid_rows=16 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,32,128,512,512,4,sample,1,PASS,0,10976,231664,0.047,256,65536,0,0,65536,874.4,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 128 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 32 x 128\nstart\nPERF: core0: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=874.4\nPERF: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=874.4\nPERF: instrs=10976, cycles=231664, IPC=0.047\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=128 tile_grid_rows=16 tile_grid_cols=4 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,64,16,512,512,4,sample,1,PASS,0,39712,236377,0.168,1024,65536,0,0,65536,217.7,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 64 -C 16 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 64 x 16\nstart\nPERF: core0: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=217.7\nPERF: dxa: transfers=1024, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=217.7\nPERF: instrs=39712, cycles=236377, IPC=0.168\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=64 tile_cols=16 tile_grid_rows=8 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,64,32,512,512,4,sample,1,PASS,0,20256,223481,0.091,512,65536,0,0,65536,421.0,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 64 -C 32 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 64 x 32\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=421.0\nPERF: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=421.0\nPERF: instrs=20256, cycles=223481, IPC=0.091\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=64 tile_cols=32 tile_grid_rows=8 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,64,64,512,512,4,sample,1,PASS,0,10528,217066,0.049,256,65536,0,0,65536,817.4,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 64 -C 64 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 64 x 64\nstart\nPERF: core0: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=817.4\nPERF: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=817.4\nPERF: instrs=10528, cycles=217066, IPC=0.049\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=64 tile_cols=64 tile_grid_rows=8 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,64,128,512,512,4,sample,1,PASS,0,5664,228857,0.025,128,65536,0,0,65536,1727.4,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 64 -C 128 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 64 x 128\nstart\nPERF: core0: dxa: transfers=128, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=1727.4\nPERF: dxa: transfers=128, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=1727.4\nPERF: instrs=5664, cycles=228857, IPC=0.025\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=64 tile_cols=128 tile_grid_rows=8 tile_grid_cols=4 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,128,16,512,512,4,sample,1,PASS,0,20032,219757,0.091,512,65536,0,0,65536,413.7,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 128 -C 16 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 128 x 16\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=413.7\nPERF: dxa: transfers=512, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=413.7\nPERF: instrs=20032, cycles=219757, IPC=0.091\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=128 tile_cols=16 tile_grid_rows=4 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,128,32,512,512,4,sample,1,PASS,0,10304,222660,0.046,256,65536,0,0,65536,839.2,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 128 -C 32 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 128 x 32\nstart\nPERF: core0: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=839.2\nPERF: dxa: transfers=256, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=839.2\nPERF: instrs=10304, cycles=222660, IPC=0.046\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=128 tile_cols=32 tile_grid_rows=4 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,128,64,512,512,4,sample,1,PASS,0,5440,225002,0.024,128,65536,0,0,65536,1697.3,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 128 -C 64 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 128 x 64\nstart\nPERF: core0: dxa: transfers=128, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=1697.3\nPERF: dxa: transfers=128, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=1697.3\nPERF: instrs=5440, cycles=225002, IPC=0.024\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=128 tile_cols=64 tile_grid_rows=4 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,percta,8,8,128,128,512,512,4,sample,1,PASS,0,3008,224983,0.013,64,65536,0,0,65536,3394.3,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=percta --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 128 -C 128 --verify=1,"  mode: percta\n  writeback: sample\n  source: 512 x 512, tile: 128 x 128\nstart\nPERF: core0: dxa: transfers=64, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=3394.3\nPERF: dxa: transfers=64, gmem_reads=65536, gmem_dedup=0 (rate=0%), lmem_writes=65536, avg_gmem_lat=3394.3\nPERF: instrs=3008, cycles=224983, IPC=0.013\nDXA_COPY_MCAST_RESULT mode=percta writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=128 tile_cols=128 tile_grid_rows=4 tile_grid_cols=4 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,16,16,512,512,4,sample,1,PASS,0,159840,768188,0.208,1024,16384,0,0,16384,129.5,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 16 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 16 x 16\nstart\nPERF: core0: dxa: transfers=1024, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=129.5\nPERF: dxa: transfers=1024, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=129.5\nPERF: instrs=159840, cycles=768188, IPC=0.208\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=16 tile_grid_rows=32 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,16,32,512,512,4,sample,1,PASS,0,80992,448020,0.181,512,16384,0,0,16384,238.7,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 32 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 16 x 32\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=238.7\nPERF: dxa: transfers=512, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=238.7\nPERF: instrs=80992, cycles=448020, IPC=0.181\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=32 tile_grid_rows=32 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,16,64,512,512,4,sample,1,PASS,0,41568,287555,0.145,256,16384,0,0,16384,455.6,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 64 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 16 x 64\nstart\nPERF: core0: dxa: transfers=256, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=455.6\nPERF: dxa: transfers=256, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=455.6\nPERF: instrs=41568, cycles=287555, IPC=0.145\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=64 tile_grid_rows=32 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,16,128,512,512,4,sample,1,PASS,0,21856,217405,0.101,128,16384,0,0,16384,968.2,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 16 -C 128 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 16 x 128\nstart\nPERF: core0: dxa: transfers=128, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=968.2\nPERF: dxa: transfers=128, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=968.2\nPERF: instrs=21856, cycles=217405, IPC=0.101\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=16 tile_cols=128 tile_grid_rows=32 tile_grid_cols=4 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,32,16,512,512,4,sample,1,PASS,0,80096,445471,0.180,512,16384,0,0,16384,241.0,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 16 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 32 x 16\nstart\nPERF: core0: dxa: transfers=512, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=241.0\nPERF: dxa: transfers=512, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=241.0\nPERF: instrs=80096, cycles=445471, IPC=0.180\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=16 tile_grid_rows=16 tile_grid_cols=32 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,32,32,512,512,4,sample,1,PASS,0,40672,287281,0.142,256,16384,0,0,16384,469.0,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 32 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 32 x 32\nstart\nPERF: core0: dxa: transfers=256, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=469.0\nPERF: dxa: transfers=256, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=469.0\nPERF: instrs=40672, cycles=287281, IPC=0.142\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=32 tile_grid_rows=16 tile_grid_cols=16 num_ctas=4 verify=1 status=PASS\nPASSED"
3c,simx,dxa_copy_mcast,mcast,8,8,32,64,512,512,4,sample,1,PASS,0,20960,200174,0.105,128,16384,0,0,16384,862.4,PASS,1,-DVX_CFG_LMEM_LOG_SIZE=18 -DVX_CFG_EXT_DXA_ENABLE,,timeout -k 5s 120s ./ci/blackbox.sh --driver=simx --cores=1 --warps=8 --threads=8 --l2cache --perf=16 --app=dxa_copy_mcast --args=--mode=mcast --writeback=sample --pipeline-depth=1 --num-ctas=4 -r 512 -c 512 -R 32 -C 64 --verify=1,"  mode: mcast\n  writeback: sample\n  source: 512 x 512, tile: 32 x 64\nstart\nPERF: core0: dxa: transfers=128, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=862.4\nPERF: dxa: transfers=128, gmem_reads=16384, gmem_dedup=0 (rate=0%), lmem_writes=16384, avg_gmem_lat=862.4\nPERF: instrs=20960, cycles=200174, IPC=0.105\nDXA_COPY_MCAST_RESULT mode=mcast writeback=sample pipeline_depth=1 rows=512 cols=512 tile_rows=32 tile_cols=64 tile_grid_rows=16 tile_grid_cols=8 num_ctas=4 verify=1 status=PASS\nPASSED"
