benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,166273,33944,33944,71792,0.26437662031581427,5300,5024,0,8,1.0112207166662612,0.9100268096514745,4.276,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,145793,29160,29160,188352,0.8074074074074075,0,0,0,0,1.0,1.0,3.874,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,54587,4664,4664,30112,0.807032590051458,104,80,0,2,0.3744144094709623,0.15994513031550067,2.421,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,150591,30996,30996,190188,0.76698606271777,0,0,0,0,1.0,1.0,3.574,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,72325,7159,7159,40972,0.7153932113423662,603,480,0,2,0.4802743855874521,0.23096528584333462,2.822,
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,1203936,334288,334288,517176,0.193387139233236,0,0,0,0,1.0,1.0,20.965,
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,1734415,377346,377346,700367,0.2320042480906118,71586,64042,0,8,1.4406205977726392,1.1288051021873355,26.433,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,852596,84112,84112,267000,0.39679237207532814,0,0,0,0,1.0,1.0,15.506,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,871908,98099,98099,159642,0.2034195047859815,16289,10032,0,8,1.0226508217256474,1.1662901845158835,15.956,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,893925,126932,126932,309820,0.30510430781835945,0,0,0,0,1.0,1.0,15.688,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
atm,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",8,8,1,SCS,PASS,1281095,226456,226456,382917,0.2113639073374077,41470,23394,0,6,1.4331123975725033,1.7840733621151483,20.766,
atomicreduce,"{""args"":""-n1024""}",8,8,1,IPDOM_SW,PASS,71480,44952,44952,44952,0.125,0,0,0,0,1.0,1.0,2.321,
atomicreduce,"{""args"":""-n1024""}",8,8,1,IPDOM_native,PASS,71480,44952,44952,44952,0.125,0,0,0,0,1.0,1.0,2.721,
atomicreduce,"{""args"":""-n1024""}",8,8,1,ITS,,,,,,,,,,,,,,
atomicreduce,"{""args"":""-n1024""}",8,8,1,SCS,PASS,71480,44952,44952,44952,0.125,0,0,0,1,1.0,1.0,2.271,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",8,8,1,IPDOM_SW,PASS,61314,26281,26281,118651,0.5643383052395267,0,0,0,0,1.0,1.0,2.622,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":128,""stride"":1}",8,8,1,SCS,PASS,25675,3680,3680,25152,0.8543478260869565,101,8,0,2,0.4187461264963956,0.14002511319964994,1.919,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",8,8,1,IPDOM_SW,PASS,114794,54604,54604,233630,0.5348280345762215,0,0,0,0,1.0,1.0,2.773,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.034,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":256,""stride"":1}",8,8,1,SCS,PASS,38690,5936,5936,39712,0.8362533692722371,117,8,0,2,0.337038521177065,0.10870998461651162,2.17,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",8,8,1,IPDOM_SW,PASS,232031,116752,116752,469090,0.5022290838700836,0,0,0,0,1.0,1.0,5.229,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
bh_st,"{""local"":32,""percent"":100,""resources"":1,""rounds"":1,""size"":512,""stride"":1}",8,8,1,SCS,PASS,65797,10448,10448,68832,0.8235068912710567,149,8,0,2,0.2835698678193862,0.08948883102644922,2.621,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",8,8,1,IPDOM_SW,PASS,934781,164998,164998,521646,0.3951911538321677,0,0,0,0,1.0,1.0,12.244,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",8,8,1,ITS,,,,,,,,,,,,,,
cp_ds,"{""local"":32,""percent"":100,""resources"":16,""rounds"":2,""size"":512,""stride"":1}",8,8,1,SCS,PASS,1133077,224189,224189,347266,0.19362346056229343,35024,12078,0,6,1.2121309697137619,1.3587376816688688,17.912,
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",8,8,1,IPDOM_SW,PASS,919357,142408,142408,499056,0.43805123307679344,0,0,0,0,1.0,1.0,11.347,
cp_ds,"{""local"":32,""percent"":100,""resources"":256,""rounds"":2,""size"":512,""stride"":1}",8,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
