benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,119929,20498,20498,52182,0.6364279441896771,2626,1782,0,2,0.6385383722539906,0.3696530332539854,2.873,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,174531,51000,51000,184672,0.9052549019607843,0,0,0,0,1.0,1.0,2.822,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,90323,8408,8408,26432,0.7859181731684111,208,158,0,2,0.5175183778239969,0.16486274509803922,2.62,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,175443,51000,51000,184672,0.9052549019607843,0,0,0,0,1.0,1.0,3.524,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",4,8,1,SCS,PASS,101355,10138,10138,30242,0.7457585322548826,554,401,0,2,0.5777089995041125,0.19878431372549019,2.722,
atm,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",4,8,1,IPDOM_SW,PASS,1211365,320820,320820,474748,0.3699488809924568,0,0,0,0,1.0,1.0,15.505,
