benchmark,parameters,threads,warps,cores,configuration,status,cycles,dynamic_instructions,issued_instructions,active_lane_instructions,simd_utilization,vx_yield_count,subgroup_switch_count,watchdog_switch_count,peak_live_split_contexts,normalized_time,normalized_instructions,wall_seconds,notes
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,493271,119468,119468,322836,0.16889250678005827,0,0,0,0,1.0,1.0,11.695,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":100,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,1012500,237465,237465,644300,0.16957762196534226,42973,41556,0,9,2.0526242167084625,1.9876870793852748,23.457,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,134962,24964,24964,202436,0.5068198205415799,0,0,0,0,1.0,1.0,5.329,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":25,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,237872,33142,33142,110002,0.20744448132279283,5226,5045,0,9,1.7625109290022376,1.3275917320942157,7.635,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,267815,65348,65348,251452,0.24049320560690457,0,0,0,0,1.0,1.0,7.933,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_cg,"{""local"":32,""percent"":50,""resources"":1,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,517955,122093,122093,333983,0.17096752066048013,21977,21227,0,9,1.9340029497974347,1.868350982432515,18.261,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,376978,69752,69752,273120,0.24472416561532287,0,0,0,0,1.0,1.0,9.148,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,681680,165400,165400,351180,0.1327010278113664,28860,28551,0,13,1.8082752839688259,2.3712581718086936,16.204,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,329825,42568,42568,245936,0.36109283969178724,0,0,0,0,1.0,1.0,10.383,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,146912,7330,7330,76800,0.654843110504775,530,363,0,2,0.44542408853179716,0.1721950761135125,4.674,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,338792,49524,49524,252892,0.31915333979484695,0,0,0,0,1.0,1.0,12.646,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.033,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":100,""resources"":8,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,247824,17495,17495,165840,0.5924549871391827,2563,1977,0,2,0.7314930694939668,0.35326306437282934,9.79,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,114767,20360,20360,197832,0.6072937131630648,0,0,0,0,1.0,1.0,5.529,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_native,DEADLOCK,,,,,,,,,,,,20.017,Natural IPDOM has a same-warp holder/waiter dependency at the polling-loop reconvergence; observed nontermination after 20s. See README for the per-kernel dependency argument.
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,ITS,,,,,,,,,,,,,,
am_fg,"{""local"":32,""percent"":25,""resources"":2,""rounds"":4,""size"":256,""stride"":1}",16,8,1,SCS,PASS,171773,22822,22822,70752,0.19376040662518623,3230,3261,0,12,1.496710726951127,1.1209233791748527,5.078,
am_fg,"{""local"":32,""percent"":25,""resources"":32,""rounds"":4,""size"":256,""stride"":1}",16,8,1,IPDOM_SW,PASS,106303,18240,18240,195712,0.6706140350877193,0,0,0,0,1.0,1.0,4.325,
