model,fedp_latency,mode,threads,warps,issue_width,itype,otype,idle_pct,occupancy,occupancy_pct,simt_util,simt_util_pct,stall_fetch_pct,stall_ibuf_pct,stall_scrb_pct,stall_opds_pct,stall_alu_pct,stall_lsu_pct,stall_sfu_pct,stall_fpu_pct,stall_tcu_pct,mix_alu_pct,mix_lsu_pct,mix_sfu_pct,mix_fpu_pct,mix_tcu_pct,branches,divergent_branches,divergence_pct,ifetch_latency,load_latency,loads,stores,instrs,cycles,ipc,status
baseline,4,RS,8,8,4,fp8,fp32,59,7.9,99,8.0,100,0,0,56,1,0,9,1,0,0,71,11,15,1,3,8192,0,0,4.35,36.23,45056,34816,90336,214859,0.420,PASS
baseline,4,SS,8,8,4,fp8,fp32,59,7.9,99,8.0,100,0,0,56,1,0,9,1,0,1,71,11,15,1,3,8192,0,0,4.36,39.24,40960,34816,88032,211130,0.417,PASS
baseline,4,RS,32,8,4,fp8,fp32,88,7.7,96,32.0,100,0,0,60,0,0,16,1,0,0,69,12,15,1,3,1056,0,0,14.43,138.98,24064,21504,11840,94625,0.125,PASS
baseline,4,SS,32,8,4,fp8,fp32,88,7.7,97,32.0,100,0,0,58,0,0,16,1,0,0,69,12,15,1,3,1056,0,0,14.61,138.39,22016,21504,11552,95324,0.121,PASS
fedp2k,4,RS,8,8,4,fp8,fp32,60,7.9,99,8.0,100,0,0,53,1,0,9,2,0,0,70,11,15,1,3,8192,0,0,4.36,36.50,45056,34816,87264,211279,0.413,PASS
fedp2k,4,SS,8,8,4,fp8,fp32,60,8.0,99,8.0,100,0,0,55,1,0,9,1,0,1,70,11,16,1,3,8192,0,0,4.40,39.41,40960,34816,84960,209156,0.406,PASS
fedp2k,4,RS,32,8,4,fp8,fp32,88,7.9,99,32.0,100,0,0,61,0,0,17,1,0,0,69,12,15,1,3,1056,0,0,14.43,128.49,24064,21504,11664,94822,0.123,PASS
fedp2k,4,SS,32,8,4,fp8,fp32,88,7.9,99,32.0,100,0,0,63,0,0,17,0,0,0,69,12,15,1,3,1056,0,0,14.74,145.60,22016,21504,11376,93752,0.121,PASS
fedp2k,8,RS,8,8,4,fp8,fp32,60,7.9,99,8.0,100,0,0,52,1,0,9,2,0,1,70,11,15,1,3,8192,0,0,4.36,35.99,45056,34816,87264,212092,0.411,PASS
fedp2k,8,SS,8,8,4,fp8,fp32,60,7.9,99,8.0,100,0,0,54,1,0,9,1,0,1,70,11,16,1,3,8192,0,0,4.40,38.96,40960,34816,84960,206133,0.412,PASS
fedp2k,8,RS,32,8,4,fp8,fp32,88,7.9,99,32.0,100,0,0,61,0,0,17,1,0,0,69,12,15,1,3,1056,0,0,14.43,128.49,24064,21504,11664,94866,0.123,PASS
fedp2k,8,SS,32,8,4,fp8,fp32,88,7.9,99,32.0,100,0,0,63,0,0,17,0,0,0,69,12,15,1,3,1056,0,0,14.74,147.17,22016,21504,11376,93702,0.121,PASS
